"dist","regime","label","n","p","alpha","is_covered","c_plus_estimate","c_minus_estimate","is_unbounded","width_abs_median","width_abs_max","width_rel_median","width_rel_max"
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190996,-0.0178376,FALSE,0.657939460305439,0.838901908681705,0.327698046514863,0.422765852909084
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0171112,-0.0159004,FALSE,0.573303563312874,0.750099179597227,0.292275478299377,0.360072081655424
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0231158,-0.0199602,FALSE,0.797685464300431,1.00706040701871,0.384725851139153,0.507509575908915
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190094,-0.0180208,FALSE,0.755527859132165,0.916082808672544,0.396304568910022,0.455107439914379
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0170524,-0.0160344,FALSE,0.654928866766951,0.821188450489206,0.344062259201784,0.409823831742869
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0238488,-0.0210208,FALSE,0.898370924534519,1.07243050795779,0.470784138942693,0.537334269541042
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.01905,-0.0170124,FALSE,0.692781589310591,0.958898803842807,0.31947423672142,0.416032491841796
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0170276,-0.0150428,FALSE,0.635681604614347,0.92158210229691,0.296697678286552,0.38809822329714
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.024002,-0.0209512,FALSE,0.845809150608915,1.14230624812176,0.394186277276764,0.523089800079612
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0188632,-0.017255,FALSE,0.696440681413237,0.914460324233785,0.316078794030646,0.436668291480746
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0168264,-0.0161248,FALSE,0.655167644201476,0.850407966320135,0.287606015683301,0.408317869868099
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0238096,-0.0211624,FALSE,0.924810919721062,1.14279900592551,0.404279939500655,0.52692288909529
"bivt","central","0.05",1000,0.05,"0.05",FALSE,0.0200086,-0.0170764,FALSE,0.548515911675839,0.695013869737126,0.291951969800855,0.368098376882588
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.0179702,-0.0159902,FALSE,0.462932699638239,0.597230536239012,0.247899829368734,0.31082159545184
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0249888,-0.0210344,FALSE,0.668811327601896,0.834464156947214,0.353878226899495,0.424195428144576
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0189976,-0.0170162,FALSE,0.755319232867166,1.03181121439217,0.341976147406552,0.474358367200852
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0160498,-0.015019,FALSE,0.678571337405604,0.958610226855707,0.310835058814643,0.444348676461735
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023981,-0.0209998,FALSE,0.903620959892133,1.25274098331114,0.41485632679342,0.570699227752298
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0190954,-0.0170094,FALSE,0.745593372356049,0.87735353180615,0.317621984940858,0.363504223656764
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.0170444,-0.0151144,FALSE,0.643641514106287,0.804056397754267,0.288087435610675,0.333830043672942
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.02307,-0.0201098,FALSE,0.910845255238588,1.0589525156767,0.385479051290331,0.452945872196938
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0189956,-0.017037,FALSE,0.76285002324771,0.993022126277199,0.339422776718968,0.433104406211295
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016965,-0.0150578,FALSE,0.64579000068689,0.912123064880456,0.295815453895466,0.408933375727445
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.0239916,-0.0209376,FALSE,0.908023348610631,1.22636226195695,0.416048655269108,0.529511374514236
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0180714,-0.0169762,FALSE,0.800618583362905,0.993118009364444,0.360973858087449,0.420561672981271
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.016047,-0.014981,FALSE,0.689138569054308,0.896058016225479,0.305569122675839,0.379739073241904
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023019,-0.0200756,FALSE,1.08726970198516,1.26916683174517,0.481134229887895,0.555092694334856
"bivt","central","0.05",1000,0.05,"0.05",FALSE,0.017976,-0.0171222,FALSE,0.799903248097166,0.976755184407936,0.368401281102869,0.425899642206792
"bivt","central","0.05",1000,0.05,"0.1",FALSE,0.0159228,-0.0151584,FALSE,0.712097163096868,0.84049316237718,0.329559158304202,0.371064071313824
"bivt","central","0.05",1000,0.05,"0.01",TRUE,0.023828,-0.0210814,FALSE,1.04585687961911,1.31402504334664,0.472806352329426,0.567886243969162
"bivt","central","0.05",1000,0.05,"0.05",TRUE,0.0181416,-0.0168756,FALSE,0.732875887141293,1.00239186439549,0.341286774887108,0.485191019353873
"bivt","central","0.05",1000,0.05,"0.1",TRUE,0.0161364,-0.0149106,FALSE,0.636260243356844,0.716061791096608,0.297857500124702,0.364395529136979
