"dist","p","n","sim_id","theta","expected_r_bootstrapworld","true_r_bootstrapworld","true_bias","boot_bias"
"bivt",0.005,1000,3,0.352627746831507,3.99225935918158,4.05475851945156,-0.64354109839526,-0.0624991602699829
"bivt",0.005,1000,3,0.384684814725281,4.01294393763774,4.07110168183083,-0.653495832530178,-0.0581577441930925
"bivt",0.005,1000,3,0.416741882619054,4.0244738320002,3.99942440636745,-0.664861518336403,0.0250494256327491
"bivt",0.005,1000,3,0.448798950512828,4.06459987426893,4.05910158748794,-0.675306208300416,0.00549828678099207
"bivt",0.005,1000,3,0.480856018406601,4.11265263874391,4.12488949144444,-0.687221313491534,-0.0122368527005348
"bivt",0.005,1000,3,0.512913086300374,4.13770886524119,4.17792025125978,-0.702583212673717,-0.040211386018596
"bivt",0.005,1000,3,0.544970154194148,4.1430067063521,4.19829234720495,-0.716256049675327,-0.0552856408528495
"bivt",0.005,1000,3,0.577027222087921,4.14928407608601,4.17602169050196,-0.726997014802003,-0.026737614415949
"bivt",0.005,1000,3,0.609084289981695,4.17564667022533,4.16775015520363,-0.736265120635194,0.00789651502170496
"bivt",0.005,1000,3,0.641141357875468,4.19112590781959,4.0934877929183,-0.746582717309204,0.0976381149012884
"bivt",0.005,1000,3,0.673198425769241,4.20232976175093,4.19299144015488,-0.755167448582029,0.00933832159604275
"bivt",0.005,1000,3,0.705255493663015,4.1927767044135,4.30524671856336,-0.763751367351449,-0.112470014149863
"bivt",0.005,1000,3,0.737312561556788,4.18142994386059,4.17679124689747,-0.76894687791438,0.00463869696312358
"bivt",0.005,1000,3,0.769369629450562,4.17499006143914,4.16944193970257,-0.773519839188819,0.00554812173657115
"bivt",0.005,1000,3,0.801426697344335,4.1707622428154,4.19322217344434,-0.776332963329605,-0.0224599306289361
"bivt",0.005,1000,3,0.833483765238108,4.16718300439063,4.07753115428111,-0.773992965437791,0.0896518501095143
"bivt",0.005,1000,3,0.865540833131882,4.17043880531521,4.17237745115747,-0.770100355860326,-0.001938645842257
"bivt",0.005,1000,3,0.897597901025655,4.18852019082462,4.12418582871571,-0.763548165112121,0.0643343621089114
"bivt",0.005,1000,3,0.929654968919429,4.20766069058331,4.132476947339,-0.754033441008183,0.0751837432443123
"bivt",0.005,1000,3,0.961712036813202,4.22717095919622,4.20693233986643,-0.74475180639159,0.0202386193297981
"bivt",0.005,1000,3,0.993769104706975,4.2340368961865,4.30585035737157,-0.732555195780997,-0.0718134611850747
"bivt",0.005,1000,3,1.02582617260075,4.24766382682906,4.2199760344985,-0.720910942622392,0.0276877923305552
"bivt",0.005,1000,3,1.05788324049452,4.26100489820154,4.28531229383069,-0.708012008494333,-0.0243073956291502
"bivt",0.005,1000,3,1.0899403083883,4.27010678970198,4.31790979899936,-0.697394461423024,-0.0478030092973754
"bivt",0.005,1000,3,1.12199737628207,4.2829538273913,4.34093521750832,-0.683057295227394,-0.0579813901170265
"bivt",0.005,1000,3,1.15405444417584,4.28440685987429,4.28281218778048,-0.670836189934778,0.00159467209381159
"bivt",0.005,1000,3,1.18611151206962,4.27393974020173,4.34610044466917,-0.6612714223311,-0.0721607044674473
"bivt",0.005,1000,3,1.21816857996339,4.26683438408854,4.31953340898671,-0.6496088146785,-0.0526990248981738
"bivt",0.005,1000,3,1.25022564785716,4.23650477685657,4.27134624608876,-0.640183293559325,-0.0348414692321901
"bivt",0.005,1000,3,1.28228271575094,4.21057399573327,4.22851949137796,-0.630380773145966,-0.0179454956446934
"bivt",0.005,1000,3,1.31433978364471,4.20854879869352,4.26702022401215,-0.622239738384413,-0.0584714253186345
"bivt",0.005,1000,3,1.34639685153848,4.22040254636218,4.23361224106674,-0.614278898861215,-0.0132096947045603
"bivt",0.005,1000,3,1.37845391943226,4.21487069975186,4.2986060868214,-0.60711192704808,-0.0837353870695461
"bivt",0.005,1000,3,1.41051098732603,4.19091888976313,4.27412279856228,-0.601317937306459,-0.083203908799157
"bivt",0.005,1000,3,1.4425680552198,4.18129615167031,4.25426361226605,-0.596424843462687,-0.0729674605957396
"bivt",0.005,1000,3,1.47462512311358,4.16957412233976,4.23892375470453,-0.591601310895889,-0.0693496323647667
"bivt",0.005,1000,3,1.50668219100735,4.1588517983256,4.22802309371717,-0.587149290919809,-0.0691712953915751
"bivt",0.005,1000,3,1.53873925890112,4.15244044790022,4.22150510775015,-0.584532889969844,-0.0690646598499303
"bivt",0.005,1000,3,1.5707963267949,4.15030699127048,4.21933616681708,-0.581107838720077,-0.0690291755465946
"bivt",0.005,1000,4,0,3.71670226560519,3.72840358710724,-0.576681537737896,-0.0117013215020578
"bivt",0.005,1000,4,0.0320570678937734,3.71861282863245,3.73032016517436,-0.57866112232144,-0.0117073365419067
