"dist","p","n","sim_id","theta","r_true","r_naive","r_lower","r_upper","xi_hat"
"bivt",0.005,1000,3,0.737312561556788,5.0466736376194,4.35030846088873,4.35030846088873,5.5678080918683,0.25842190200291
"bivt",0.005,1000,3,0.769369629450562,5.05329836743373,4.35113648142333,4.35113648142333,5.81722814181466,0.25842190200291
"bivt",0.005,1000,3,0.801426697344335,5.05329836743371,4.42527302562905,4.42527302562905,5.62876069244639,0.25842190200291
"bivt",0.005,1000,3,0.833483765238108,5.04667363761939,4.57917767205367,4.57917767205367,5.37803303754803,0.25842190200291
"bivt",0.005,1000,3,0.865540833131882,5.03370096816744,4.64683990399093,4.64683990399093,5.21185552011061,0.25842190200291
"bivt",0.005,1000,3,0.897597901025655,5.01490633352196,4.62126711193729,4.62126711193729,5.30646706758987,0.25842190200291
"bivt",0.005,1000,3,0.929654968919429,4.99101519587438,4.61447130685467,4.61447130685467,5.31195837279562,0.25842190200291
"bivt",0.005,1000,3,0.961712036813202,4.96288894583103,4.63625478110055,4.63625478110055,5.6664157037793,0.25842190200291
"bivt",0.005,1000,3,0.993769104706975,4.93144632361991,4.58268181682532,4.58268181682532,5.75181692356487,0.25842190200291
"bivt",0.005,1000,3,1.02582617260075,4.89771010838725,4.61929498064901,4.61929498064901,5.8588579482488,0.25842190200291
"bivt",0.005,1000,3,1.05788324049452,4.86248240415205,4.53478075910553,4.53478075910553,5.74934079465095,0.25842190200291
"bivt",0.005,1000,3,1.0899403083883,4.82666019534754,4.45817458675436,4.45817458675436,5.64931664256102,0.25842190200291
"bivt",0.005,1000,3,1.12199737628207,4.79099872305093,4.39853705297803,4.39853705297803,5.55231245240917,0.25842190200291
"bivt",0.005,1000,3,1.15405444417584,4.75615657810008,4.33386946910063,4.33386946910063,5.47068198598248,0.25842190200291
"bivt",0.005,1000,3,1.18611151206962,4.72269597841849,4.27540544244263,4.27540544244263,5.743171567732,0.25842190200291
"bivt",0.005,1000,3,1.21816857996339,4.69108879723264,4.25564920980252,4.25564920980252,5.78869558150777,0.25842190200291
"bivt",0.005,1000,3,1.25022564785716,4.66172596695063,4.24965424896366,4.24965424896366,5.69914580600835,0.25842190200291
