"dist","p","n","sim_id","theta","true_bias","somrv_bias_est","in_sample_bias_est","xi_hat"
"bivt",1e-04,50000,179,1.21816857996339,-0.0853436980153237,-0.522920448914343,-0.204761572999578,0.289835901387189
"bivt",1e-04,50000,179,1.25022564785716,-0.0772584336611644,-0.550938000434711,-0.215732492061584,0.289835901387189
"bivt",1e-04,50000,179,1.28228271575094,-0.0705402160102544,-0.483775152989587,-0.189433328740383,0.289835901387189
"bivt",1e-04,50000,179,1.31433978364471,-0.0628905965951461,-0.749318455626182,-0.293412938756129,0.289835901387189
"bivt",1e-04,50000,179,1.34639685153848,-0.0574886254751945,-0.675984975421818,-0.264697521733608,0.289835901387189
"bivt",1e-04,50000,179,1.37845391943226,-0.0520000437410175,-0.614745882707006,-0.240717941322504,0.289835901387189
"bivt",1e-04,50000,179,1.41051098732603,-0.0455733199562385,-0.467361393877215,-0.18300614246059,0.289835901387189
"bivt",1e-04,50000,179,1.4425680552198,-0.0417743934018731,-0.453936920350671,-0.177749479957348,0.289835901387189
"bivt",1e-04,50000,179,1.47462512311358,-0.0372148028466039,-0.404469260657039,-0.158379275880408,0.289835901387189
"bivt",1e-04,50000,179,1.50668219100735,-0.0332141957080001,-0.403419722268764,-0.157968304896671,0.289835901387189
"bivt",1e-04,50000,179,1.53873925890112,-0.0304243058729412,-0.324181164090757,-0.126940618279265,0.289835901387189
"bivt",1e-04,50000,179,1.5707963267949,-0.0279004914320762,-0.296974434057977,-0.116287195087931,0.289835901387189
"bivt",1e-04,50000,180,0,-0.031221823310581,-0.26147927359764,-0.105241817852199,0.276071914994027
"bivt",1e-04,50000,180,0.0320570678937734,-0.0355948321230439,-0.261613686471426,-0.105295917188584,0.276071914994027
"bivt",1e-04,50000,180,0.0641141357875468,-0.0390621528694766,-0.308960524321037,-0.124352369412456,0.276071914994027
"bivt",1e-04,50000,180,0.0961712036813202,-0.0431958248984241,0.270353791584858,0.108813689506447,0.276071914994027
"bivt",1e-04,50000,180,0.128228271575094,-0.047543500922929,0.247293430031368,0.0995322105699836,0.276071914994027
"bivt",1e-04,50000,180,0.160285339468867,-0.0520269164050582,0.209209926254953,0.0842041231370256,0.276071914994027
"bivt",1e-04,50000,180,0.19234240736264,-0.0576793526624844,0.18453706748055,0.0742736362066374,0.276071914994027
"bivt",1e-04,50000,180,0.224399475256414,-0.0613747469162575,0.0488788279272768,0.0196730571978989,0.276071914994027
"bivt",1e-04,50000,180,0.256456543150187,-0.0665857247661865,-0.0622398473430358,-0.0250506840832969,0.276071914994027
"bivt",1e-04,50000,180,0.288513611043961,-0.0739063775340547,-0.132810550313976,-0.0534544231849967,0.276071914994027
