"dist","p","n","sim_id","theta","true_bias","somrv_bias_est","in_sample_bias_est"
"bivt",0.005,1000,4,0.801426697344335,-0.776332963329605,-1.16328359495173,-0.710729233086356
"bivt",0.005,1000,4,0.833483765238108,-0.773992965437791,-0.871156298994965,-0.532248757714779
"bivt",0.005,1000,4,0.865540833131882,-0.770100355860326,-0.705428527623825,-0.430994366817425
"bivt",0.005,1000,4,0.897597901025655,-0.763548165112121,-0.5255547455515,-0.321097213845101
"bivt",0.005,1000,4,0.929654968919429,-0.754033441008183,-0.373849800759701,-0.228410323446928
"bivt",0.005,1000,4,0.961712036813202,-0.74475180639159,-0.252858666071387,-0.154488592976
"bivt",0.005,1000,4,0.993769104706975,-0.732555195780997,-0.301388353787072,-0.184138686798152
"bivt",0.005,1000,4,1.02582617260075,-0.720910942622392,-0.455879431323281,-0.278527815581964
"bivt",0.005,1000,4,1.05788324049452,-0.708012008494333,-0.408877841148119,-0.249811340696562
"bivt",0.005,1000,4,1.0899403083883,-0.697394461423024,-0.368430325632509,-0.22509919672117
"bivt",0.005,1000,4,1.12199737628207,-0.683057295227394,-0.339924313588526,-0.207682931103489
"bivt",0.005,1000,4,1.15405444417584,-0.670836189934778,-0.296652576847279,-0.181245277893313
"bivt",0.005,1000,4,1.18611151206962,-0.6612714223311,-0.272415557294393,-0.166437230746532
"bivt",0.005,1000,4,1.21816857996339,-0.6496088146785,-0.254343150036415,-0.155395565406947
"bivt",0.005,1000,4,1.25022564785716,-0.640183293559325,-0.229862999937241,-0.140438973238597
"bivt",0.005,1000,4,1.28228271575094,-0.630380773145966,-0.186583810737547,-0.113996766813624
"bivt",0.005,1000,4,1.31433978364471,-0.622239738384413,-0.142673466331764,-0.0871689446561432
"bivt",0.005,1000,4,1.34639685153848,-0.614278898861215,-0.129549374445886,-0.079150542435495
"bivt",0.005,1000,4,1.37845391943226,-0.60711192704808,-0.128674161158214,-0.0786158149868883
"bivt",0.005,1000,4,1.41051098732603,-0.601317937306459,-0.127941280192733,-0.0781680480547315
"bivt",0.005,1000,4,1.4425680552198,-0.596424843462687,-0.127346816758228,-0.0778048498262538
"bivt",0.005,1000,4,1.47462512311358,-0.591601310895889,-0.12688763458053,-0.0775243041378091
"bivt",0.005,1000,4,1.50668219100735,-0.587149290919809,-0.126561334989386,-0.0773249454782556
"bivt",0.005,1000,4,1.53873925890112,-0.584532889969844,-0.126366226072726,-0.0772057401431954
"bivt",0.005,1000,4,1.5707963267949,-0.581107838720077,-0.12630130115299,-0.0771660730846961
"bivt",0.005,1000,5,0,-0.576681537737896,-1.39566516557712,-0.852706972814421
"bivt",0.005,1000,5,0.0320570678937734,-0.57866112232144,-1.39638260433687,-0.853145305050616
"bivt",0.005,1000,5,0.0641141357875468,-0.582388259019866,-1.47309679680656,-0.900015233774304
"bivt",0.005,1000,5,0.0961712036813202,-0.587331333898525,-1.51199527257936,-0.923780963794229
"bivt",0.005,1000,5,0.128228271575094,-0.592274891598946,-1.58568275803946,-0.968801670917062
"bivt",0.005,1000,5,0.160285339468867,-0.598156613196884,-1.59328450972292,-0.973446099126613
"bivt",0.005,1000,5,0.19234240736264,-0.603756175650843,-1.60241125824392,-0.979022251842125
"bivt",0.005,1000,5,0.224399475256414,-0.610402108161023,-1.61331050649164,-0.985681345447446
"bivt",0.005,1000,5,0.256456543150187,-0.618155131857492,-1.61405285850944,-0.986134898890974
"bivt",0.005,1000,5,0.288513611043961,-0.627358068032659,-1.64401894118074,-1.00444322116768
"bivt",0.005,1000,5,0.320570678937734,-0.635131855093542,-1.70508280749403,-1.04175129897646
"bivt",0.005,1000,5,0.352627746831507,-0.64354109839526,-1.4220312559626,-0.868815814442105
"bivt",0.005,1000,5,0.384684814725281,-0.653495832530178,-1.24679300394304,-0.761750822718892
"bivt",0.005,1000,5,0.416741882619054,-0.664861518336403,-1.34858985340046,-0.823945456133699
"bivt",0.005,1000,5,0.448798950512828,-0.675306208300416,-1.43746278301746,-0.878243986073378
"bivt",0.005,1000,5,0.480856018406601,-0.687221313491534,-1.22170265701322,-0.746421419718033
"bivt",0.005,1000,5,0.512913086300374,-0.702583212673717,-1.18264047230443,-0.722555668751344
"bivt",0.005,1000,5,0.544970154194148,-0.716256049675327,-1.22115584728134,-0.746087336384381
"bivt",0.005,1000,5,0.577027222087921,-0.726997014802003,-1.34443212652665,-0.821405217411833
"bivt",0.005,1000,5,0.609084289981694,-0.736265120635194,-1.3547518634041,-0.827710248023797
"bivt",0.005,1000,5,0.641141357875468,-0.746582717309204,-1.29676098372066,-0.792279667190129
"bivt",0.005,1000,5,0.673198425769241,-0.755167448582029,-1.02593630857518,-0.626814414776769
