"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","xi_hat"
"bivt",0.005,1000,"0.01",TRUE,0.00774219220321513,-0.00415926595525782,0.336903102635265
"bivt",0.005,1000,"0.05",TRUE,0.00613994092960098,-0.00353982379619601,0.332987201746633
"bivt",0.005,1000,"0.1",TRUE,0.00531744289604012,-0.00318615588007257,0.332987201746633
"bivt",0.005,1000,"0.01",TRUE,0.00801395902235393,-0.00409171289907603,0.332987201746633
"bivt",0.005,1000,"0.05",TRUE,0.00867272412436264,-0.00389362652625771,0.335970579300749
"bivt",0.005,1000,"0.1",TRUE,0.00743135636373513,-0.00351398636419253,0.335970579300749
"bivt",0.005,1000,"0.01",TRUE,0.0110298791430248,-0.00450501458215653,0.335970579300749
"bivt",0.005,1000,"0.05",TRUE,0.0084198129619286,-0.00383727063538631,0.280965292147421
"bivt",0.005,1000,"0.1",TRUE,0.00723155568085862,-0.00349573695033529,0.280965292147421
"bivt",0.005,1000,"0.01",TRUE,0.0108577627924315,-0.00427273692225492,0.280965292147421
"bivt",0.005,1000,"0.05",TRUE,0.00657212348738807,-0.00342638761582252,0.278399859512519
"bivt",0.005,1000,"0.1",TRUE,0.00556226583962901,-0.00309962395226372,0.278399859512519
"bivt",0.005,1000,"0.01",TRUE,0.00872792296224303,-0.00410006258445118,0.278399859512519
"bivt",0.005,1000,"0.05",TRUE,0.00820547635368908,-0.0039336665430468,0.294816105301331
"bivt",0.005,1000,"0.1",TRUE,0.0070411707187719,-0.00360597074618552,0.294816105301331
"bivt",0.005,1000,"0.01",TRUE,0.0104659354600621,-0.00449091403889152,0.294816105301331
"bivt",0.005,1000,"0.05",TRUE,0.00712760887636123,-0.00358346122498155,0.283188942214146
"bivt",0.005,1000,"0.1",TRUE,0.00597139882732301,-0.00326944436980575,0.283188942214146
"bivt",0.005,1000,"0.01",TRUE,0.00932855579235383,-0.00410844327844295,0.283188942214146
"bivt",0.005,1000,"0.05",TRUE,0.00971158556638995,-0.00404319454506362,0.262967252241505
"bivt",0.005,1000,"0.1",TRUE,0.00837411464121786,-0.00369478318359083,0.262967252241505
"bivt",0.005,1000,"0.01",TRUE,0.0121521122618489,-0.00445039240814738,0.262967252241505
"bivt",0.005,1000,"0.05",TRUE,0.00779461297754866,-0.00367592924438187,0.244093561077524
