"dist","p","n","alpha","is_covered","c_plus_adj","c_minus_adj","c_plus_raw","c_minus_raw","beta_frac_pos","beta_frac_neg","xi_hat"
"bivt",0.005,1000,"0.1",TRUE,0.00575847208694001,-0.00433566096006371,0.00575847208694001,-0.00250719618259297,1.3223707655713,0,0.230168547000388
"bivt",0.005,1000,"0.01",TRUE,0.00962265902946761,-0.0045263961308218,0.00962265902946761,-0.0032228930379594,1.3223707655713,0,0.230168547000388
"bivt",0.005,1000,"0.05",TRUE,0.00572997304434581,-0.00386954022909213,0.00572997304434581,-0.00238091359528849,0.840201129589159,0,0.262228014429138
"bivt",0.005,1000,"0.1",TRUE,0.00456103149607249,-0.00377406389317325,0.00456103149607249,-0.0021597108777641,0.840201129589159,0,0.262228014429138
"bivt",0.005,1000,"0.01",TRUE,0.00731296158974849,-0.0040277690868795,0.00731296158974849,-0.0027475034208876,0.840201129589159,0,0.262228014429138
"bivt",0.005,1000,"0.05",TRUE,0.0106774367410781,-0.00425969952413519,0.00504061093036566,-0.00263459695807227,1.16164755357725,0.445584566363209,0.270015682723355
"bivt",0.005,1000,"0.1",TRUE,0.00935927493427649,-0.0041626559639945,0.0041963944896331,-0.00232452403519845,1.16164755357725,0.445584566363209,0.270015682723355
"bivt",0.005,1000,"0.01",TRUE,0.0137214500591401,-0.00439616484952339,0.00699014859384279,-0.00307063003695664,1.16164755357725,0.445584566363209,0.270015682723355
"bivt",0.005,1000,"0.05",TRUE,0.0136392408009264,-0.00220211898370053,0.00365587333255887,-0.00209786283099293,0.036585069618929,0.767030990351301,0.322273825890562
"bivt",0.005,1000,"0.1",TRUE,0.0127342505342446,-0.00205123426865244,0.00323560508240533,-0.00194135576824611,0.036585069618929,0.767030990351301,0.322273825890562
"bivt",0.005,1000,"0.01",TRUE,0.01591019283369,-0.00241757007405423,0.00471048029589303,-0.00232134217617451,0.036585069618929,0.767030990351301,0.322273825890562
"bivt",0.005,1000,"0.05",TRUE,0.00992500956421501,-0.00379811023835217,0.00622537617961908,-0.0022154222417258,0.840201129589159,0.284861354369163,0.30106690726416
"bivt",0.005,1000,"0.1",TRUE,0.00905091025696541,-0.00374910369333755,0.00556794989791356,-0.00210188226525535,0.840201129589159,0.284861354369163,0.30106690726416
"bivt",0.005,1000,"0.01",TRUE,0.0135095446649234,-0.00395101608091435,0.00892137143251172,-0.00256967953045174,0.840201129589159,0.284861354369163,0.30106690726416
"bivt",0.005,1000,"0.05",TRUE,0.00497583063293256,-0.00392685754288141,0.00497583063293256,-0.00251370823439319,0.840201129589159,0,0.254312196264101
"bivt",0.005,1000,"0.1",TRUE,0.00387597010643098,-0.00380584675762154,0.00387597010643098,-0.00223334646420558,0.840201129589159,0,0.254312196264101
"bivt",0.005,1000,"0.01",TRUE,0.00710684234379785,-0.00424971733303456,0.00710684234379785,-0.00326172042268983,0.840201129589159,0,0.254312196264101
"bivt",0.005,1000,"0.05",TRUE,0.00588060210012582,-0.0031518757150486,0.00318350240307465,-0.00189527256066245,0.518754705601067,0.284861354369163,0.372261764026179
"bivt",0.005,1000,"0.1",TRUE,0.00541872514264155,-0.00305429012592768,0.00283611618706243,-0.00173133517901844,0.518754705601067,0.284861354369163,0.372261764026179
"bivt",0.005,1000,"0.01",TRUE,0.00776277933624392,-0.00337713235957984,0.00459912276976435,-0.00227368893171708,0.518754705601067,0.284861354369163,0.372261764026179
"bivt",0.005,1000,"0.05",TRUE,0.00948712855925999,-0.00173565634849338,0.00290071128325336,-0.00173565634849338,0,0.606307778357255,0.421270993781252
"bivt",0.005,1000,"0.1",TRUE,0.00880713435503442,-0.00158496432149163,0.00252986913465946,-0.00158496432149163,0,0.606307778357255,0.421270993781252
"bivt",0.005,1000,"0.01",TRUE,0.011197253161847,-0.00202281693692247,0.00383334611755888,-0.00202281693692247,0,0.606307778357255,0.421270993781252
"bivt",0.005,1000,"0.05",TRUE,0.0100946216387852,-0.00440841250714825,0.00635294456297345,-0.00278018229870624,1.3223707655713,0.284861354369163,0.224621187998156
"bivt",0.005,1000,"0.1",TRUE,0.00935771090517504,-0.00436953878291191,0.00579870034892576,-0.00263431616357366,1.3223707655713,0.284861354369163,0.224621187998156
"bivt",0.005,1000,"0.01",TRUE,0.0129172023513041,-0.00449626398141922,0.00847585980527456,-0.00310982797247019,1.3223707655713,0.284861354369163,0.224621187998156
